mapping_id,asset_id,control_id,status,deployment_date
MAP-b16c4647,AST-1001,CTRL-05,Deployed,2026-03-22T19:26:30.115735
MAP-09274fd0,AST-1002,CTRL-02,Deployed,2026-03-12T19:26:30.115768
MAP-5fd4e70a,AST-1003,CTRL-01,Deployed,2026-05-22T19:26:30.115815
MAP-0c618e03,AST-1004,CTRL-03,Deployed,2025-09-13T19:26:30.115835
MAP-9e0ae782,AST-1004,CTRL-04,Deployed,2026-07-22T19:26:30.115851
MAP-d90f049a,AST-1004,CTRL-05,Deployed,2026-07-17T19:26:30.115870
MAP-36c1e2bb,AST-1005,CTRL-01,Deployed,2026-01-13T19:26:30.115886
MAP-f4b51fe2,AST-1008,CTRL-03,Deployed,2025-10-02T19:26:30.115907
MAP-efed67bc,AST-1009,CTRL-04,Deployed,2026-01-21T19:26:30.115923
MAP-a08d9b16,AST-1010,CTRL-01,Deployed,2026-04-21T19:26:30.115938
MAP-abfcf5e2,AST-1010,CTRL-02,Deployed,2026-01-31T19:26:30.115951
MAP-d4606694,AST-1010,CTRL-03,Deployed,2026-02-06T19:26:30.115965
MAP-59aa7465,AST-1013,CTRL-01,Deployed,2026-07-13T19:26:30.115984
MAP-50900cf5,AST-1013,CTRL-02,Deployed,2026-06-12T19:26:30.115996
MAP-91c4dec5,AST-1013,CTRL-04,Deployed,2025-11-09T19:26:30.116008
MAP-870baf07,AST-1014,CTRL-03,Deployed,2025-12-03T19:26:30.116025
MAP-325339e2,AST-1015,CTRL-05,Deployed,2025-12-20T19:26:30.116039
MAP-0fe05b7b,AST-1016,CTRL-02,Deployed,2026-01-05T19:26:30.116056
MAP-4b415a10,AST-1017,CTRL-03,Deployed,2025-10-18T19:26:30.116069
MAP-3d608b49,AST-1018,CTRL-01,Deployed,2025-12-01T19:26:30.116084
MAP-03e1938d,AST-1018,CTRL-02,Deployed,2026-01-13T19:26:30.116097
MAP-190640a6,AST-1019,CTRL-01,Deployed,2025-09-24T19:26:30.116112
MAP-de501182,AST-1020,CTRL-01,Deployed,2026-07-15T19:26:30.116126
MAP-84c5d055,AST-1020,CTRL-05,Deployed,2025-12-15T19:26:30.116146
MAP-a8e7b93b,AST-1021,CTRL-05,Deployed,2025-09-27T19:26:30.116161
MAP-7b0b9481,AST-1022,CTRL-01,Deployed,2025-10-28T19:26:30.116179
MAP-ff6107de,AST-1023,CTRL-05,Deployed,2026-04-28T19:26:30.116196
MAP-9bb59d28,AST-1024,CTRL-02,Deployed,2026-05-21T19:26:30.116213
MAP-6e16b297,AST-1024,CTRL-05,Deployed,2026-01-11T19:26:30.116228
MAP-a858f14f,AST-1027,CTRL-02,Deployed,2026-02-06T19:26:30.116248
MAP-fbb73cc4,AST-1027,CTRL-03,Deployed,2026-04-20T19:26:30.116262
MAP-20d90174,AST-1027,CTRL-04,Deployed,2026-05-24T19:26:30.116275
MAP-bf6a8ac2,AST-1028,CTRL-01,Deployed,2025-09-14T19:26:30.116289
MAP-0defaae7,AST-1028,CTRL-03,Deployed,2026-05-09T19:26:30.116303
MAP-4e899d80,AST-1029,CTRL-04,Deployed,2026-07-10T19:26:30.116321
MAP-2b340520,AST-1032,CTRL-01,Deployed,2026-07-05T19:26:30.116339
MAP-16b7be7f,AST-1033,CTRL-04,Deployed,2025-09-27T19:26:30.116355
MAP-09fa6995,AST-1034,CTRL-01,Deployed,2026-01-16T19:26:30.116376
MAP-4ce95064,AST-1034,CTRL-03,Deployed,2026-06-07T19:26:30.116391
MAP-a03f5a73,AST-1036,CTRL-02,Deployed,2025-09-30T19:26:30.116410
MAP-fa16bdc7,AST-1036,CTRL-04,Deployed,2026-03-22T19:26:30.116422
MAP-c9546c2c,AST-1037,CTRL-01,Deployed,2025-09-09T19:26:30.116428
MAP-c84e2558,AST-1038,CTRL-01,Deployed,2025-11-26T19:26:30.116435
MAP-66d8de07,AST-1039,CTRL-03,Deployed,2026-02-13T19:26:30.116441
MAP-65c218e7,AST-1040,CTRL-04,Deployed,2026-07-23T19:26:30.116447
MAP-18d240e9,AST-1040,CTRL-05,Deployed,2026-01-29T19:26:30.116453
MAP-cca75293,AST-1041,CTRL-04,Deployed,2025-11-06T19:26:30.116459
MAP-e76efddf,AST-1041,CTRL-05,Deployed,2026-02-15T19:26:30.116465
MAP-f5485740,AST-1045,CTRL-01,Deployed,2025-11-19T19:26:30.116475
MAP-7212e950,AST-1045,CTRL-05,Deployed,2025-09-29T19:26:30.116481
MAP-6b3edcd4,AST-1046,CTRL-01,Deployed,2026-06-12T19:26:30.116487
MAP-ee8537fe,AST-1046,CTRL-02,Deployed,2026-01-29T19:26:30.116493
MAP-ee365405,AST-1046,CTRL-05,Deployed,2025-09-24T19:26:30.116499
MAP-fea738e1,AST-1047,CTRL-01,Deployed,2026-07-24T19:26:30.116506
MAP-4a5200a0,AST-1047,CTRL-02,Deployed,2026-01-04T19:26:30.116512
MAP-355465d8,AST-1047,CTRL-05,Deployed,2025-09-09T19:26:30.116519
MAP-fa9a3f5a,AST-1048,CTRL-05,Deployed,2026-07-28T19:26:30.116526
MAP-bf032b95,AST-1049,CTRL-04,Deployed,2025-12-23T19:26:30.116533
