event_id,timestamp,asset_id,mitre_technique_id,description,severity,source_ip,action_taken,downtime_hours_caused,records_compromised
EVT-d8d1614b,2026-08-20T12:26:30.110475,AST-1040,T1003.001,LSASS Memory Credential Dumping,High,7.53.121.194,Allowed,0,7057
EVT-d48cbb4f,2026-08-26T12:26:30.110496,AST-1021,T1003.001,LSASS Memory Credential Dumping,High,68.217.116.116,Allowed,0,34355
EVT-42935c1d,2026-08-21T01:26:30.110509,AST-1013,T1110.001,Password Guessing,Low,237.229.140.250,Alerted,0,0
EVT-5ec8df68,2026-08-03T12:26:30.110521,AST-1010,T1486,Data Encrypted for Impact (Ransomware),Critical,203.169.159.50,Blocked,0,0
EVT-3aca3820,2026-08-15T14:26:30.110531,AST-1021,T1078,Valid Accounts,Medium,131.179.86.199,Alerted,0,0
EVT-880f2742,2026-08-30T12:26:30.110542,AST-1003,T1110.001,Password Guessing,Low,165.138.43.223,Blocked,0,0
EVT-561a7adf,2026-08-23T05:26:30.110552,AST-1016,T1059.001,PowerShell Execution,Medium,55.78.247.196,Alerted,0,0
EVT-e9a6e2fa,2026-08-06T23:26:30.110564,AST-1019,T1003.001,LSASS Memory Credential Dumping,High,137.53.56.207,Blocked,0,0
EVT-5f550c61,2026-08-25T19:26:30.110592,AST-1023,T1486,Data Encrypted for Impact (Ransomware),Critical,22.113.183.30,Allowed,55,0
EVT-f9937bc6,2026-08-03T12:26:30.110604,AST-1026,T1078,Valid Accounts,Medium,168.50.71.214,Allowed,0,0
EVT-4b3e4bc3,2026-08-15T12:26:30.110615,AST-1022,T1059.001,PowerShell Execution,Medium,250.110.64.134,Allowed,0,0
EVT-b1c8c18b,2026-08-13T05:26:30.110625,AST-1033,T1059.001,PowerShell Execution,Medium,121.66.31.145,Allowed,0,0
EVT-6fd30e69,2026-08-22T15:26:30.110637,AST-1039,T1003.001,LSASS Memory Credential Dumping,High,68.52.39.71,Alerted,0,0
EVT-ed81275c,2026-08-20T13:26:30.110648,AST-1016,T1110.001,Password Guessing,Low,114.92.39.165,Blocked,0,0
EVT-82f6fcd0,2026-08-06T21:26:30.110655,AST-1004,T1110.001,Password Guessing,Low,128.190.204.123,Blocked,0,0
EVT-bd0b8bf5,2026-08-14T19:26:30.110663,AST-1044,T1486,Data Encrypted for Impact (Ransomware),Critical,153.73.132.34,Allowed,30,0
EVT-1d05e5c4,2026-08-29T15:26:30.110670,AST-1003,T1003.001,LSASS Memory Credential Dumping,High,48.237.27.113,Blocked,0,0
EVT-1c55c22f,2026-08-24T15:26:30.110677,AST-1004,T1059.001,PowerShell Execution,Medium,73.71.104.118,Allowed,0,0
EVT-c70cf7d3,2026-08-11T14:26:30.110686,AST-1034,T1003.001,LSASS Memory Credential Dumping,High,116.143.22.85,Allowed,0,47960
EVT-214aae9d,2026-08-03T07:26:30.110692,AST-1017,T1110.001,Password Guessing,Low,12.186.143.106,Alerted,0,0
EVT-b31a2d5c,2026-08-07T18:26:30.110700,AST-1042,T1110.001,Password Guessing,Low,81.199.31.102,Allowed,0,0
EVT-f1a6b601,2026-08-10T13:26:30.110706,AST-1015,T1486,Data Encrypted for Impact (Ransomware),Critical,68.238.228.216,Alerted,0,0
EVT-bfaf440b,2026-08-27T00:26:30.110713,AST-1040,T1078,Valid Accounts,Medium,250.220.236.92,Blocked,0,0
EVT-cc1ea4d8,2026-08-23T20:26:30.110719,AST-1021,T1003.001,LSASS Memory Credential Dumping,High,158.239.223.206,Allowed,0,47719
EVT-fa51a8da,2026-08-23T12:26:30.110727,AST-1027,T1110.001,Password Guessing,Low,162.135.4.105,Blocked,0,0
EVT-2e8c282d,2026-08-16T04:26:30.110734,AST-1012,T1110.001,Password Guessing,Low,167.162.200.94,Blocked,0,0
EVT-ff3c94fc,2026-08-27T11:26:30.110744,AST-1003,T1110.001,Password Guessing,Low,191.211.158.34,Blocked,0,0
EVT-0938e9f9,2026-08-12T12:26:30.110810,AST-1032,T1486,Data Encrypted for Impact (Ransomware),Critical,20.230.237.238,Blocked,0,0
EVT-77388cd0,2026-08-07T15:26:30.110826,AST-1003,T1078,Valid Accounts,Medium,166.16.102.103,Alerted,0,0
EVT-9cb28a6e,2026-08-21T13:26:30.110838,AST-1048,T1110.001,Password Guessing,Low,21.80.248.178,Blocked,0,0
EVT-dfd039b2,2026-08-27T08:26:30.110848,AST-1008,T1486,Data Encrypted for Impact (Ransomware),Critical,16.13.150.115,Alerted,0,0
EVT-be79822a,2026-08-26T16:26:30.110859,AST-1049,T1486,Data Encrypted for Impact (Ransomware),Critical,133.65.238.44,Alerted,0,0
EVT-7abac8ce,2026-08-26T06:26:30.110867,AST-1030,T1486,Data Encrypted for Impact (Ransomware),Critical,76.240.170.25,Blocked,0,0
EVT-0555eda8,2026-08-22T16:26:30.110877,AST-1023,T1486,Data Encrypted for Impact (Ransomware),Critical,109.157.128.222,Blocked,0,0
EVT-8b20735c,2026-08-30T23:26:30.110905,AST-1030,T1003.001,LSASS Memory Credential Dumping,High,100.218.154.200,Blocked,0,0
EVT-a540df1d,2026-08-28T02:26:30.110931,AST-1031,T1486,Data Encrypted for Impact (Ransomware),Critical,171.56.127.198,Allowed,22,0
EVT-cdb72acd,2026-08-08T21:26:30.110955,AST-1025,T1059.001,PowerShell Execution,Medium,108.108.44.221,Alerted,0,0
EVT-d0596335,2026-08-03T01:26:30.110984,AST-1024,T1110.001,Password Guessing,Low,20.203.133.77,Allowed,0,0
EVT-2d3c4355,2026-08-25T17:26:30.111025,AST-1026,T1078,Valid Accounts,Medium,216.183.115.250,Allowed,0,0
EVT-bdd2ac3d,2026-08-22T02:26:30.111055,AST-1002,T1003.001,LSASS Memory Credential Dumping,High,78.140.211.119,Allowed,0,13824
EVT-fa7cab1f,2026-08-16T01:26:30.111084,AST-1040,T1110.001,Password Guessing,Low,132.177.151.13,Allowed,0,0
