vuln_id,asset_id,cve_id,cvss_score,epss_score,severity,status,discovery_date
VULN-2ccf6ae2,AST-1024,CVE-2023-23397,6.7,0.089,Medium,Open,2026-07-18T19:26:30.109671
VULN-f3b32fd3,AST-1022,CVE-2023-23397,6.1,0.149,Medium,In Progress,2026-06-12T19:26:30.109713
VULN-0f505875,AST-1006,CVE-2023-23397,9.3,0.747,Critical,In Progress,2026-07-15T19:26:30.109726
VULN-c085cfcf,AST-1035,CVE-2023-23397,5.5,0.123,Medium,In Progress,2026-06-15T19:26:30.109733
VULN-1a5cdc4e,AST-1011,CVE-2020-1472,8.9,0.119,High,Open,2026-08-21T19:26:30.109739
VULN-b2d297d9,AST-1047,CVE-2019-0708,6.0,0.422,Medium,Risk Accepted,2026-08-22T19:26:30.109745
VULN-1d0e79c2,AST-1014,CVE-2023-23397,2.7,0.004,Low,In Progress,2026-08-26T19:26:30.109752
VULN-b29d263a,AST-1029,CVE-2021-44228,9.7,0.89,Critical,In Progress,2026-08-01T19:26:30.109757
VULN-f092204f,AST-1026,CVE-2021-44228,5.2,0.096,Medium,In Progress,2026-05-28T19:26:30.109763
VULN-72bd9db7,AST-1006,CVE-2021-44228,2.6,0.038,Low,Risk Accepted,2026-08-31T19:26:30.109770
VULN-ecebcab2,AST-1043,CVE-2019-0708,9.6,0.5,Critical,Open,2026-07-16T19:26:30.109777
VULN-64f62574,AST-1036,CVE-2019-0708,8.8,0.718,High,Risk Accepted,2026-06-23T19:26:30.109783
VULN-4ed4faf0,AST-1000,CVE-2021-44228,9.0,0.33,Critical,In Progress,2026-08-12T19:26:30.109788
VULN-8f22ae46,AST-1010,CVE-2021-44228,4.2,0.028,Medium,Risk Accepted,2026-07-14T19:26:30.109794
VULN-de99050a,AST-1027,CVE-2019-0708,4.5,0.055,Medium,In Progress,2026-08-26T19:26:30.109799
VULN-dc9cefe2,AST-1005,CVE-2020-1472,7.2,0.242,High,Open,2026-07-06T19:26:30.109805
VULN-576050f1,AST-1037,CVE-2020-1472,3.3,0.058,Low,Risk Accepted,2026-08-18T19:26:30.109810
VULN-8a610133,AST-1020,CVE-2021-44228,2.6,0.099,Low,In Progress,2026-05-24T19:26:30.109816
VULN-ef9c6aaa,AST-1002,CVE-2020-1472,2.4,0.009,Low,In Progress,2026-07-25T19:26:30.109822
