mapping_id,asset_id,control_id,status,deployment_date
MAP-9bbe7d4b,AST-1000,CTRL-04,Deployed,2026-01-04T22:09:16.427793
MAP-227ebeeb,AST-1002,CTRL-04,Deployed,2026-03-18T22:09:16.427810
MAP-7d5d74fd,AST-1003,CTRL-03,Deployed,2026-01-12T22:09:16.427819
MAP-7e3458ca,AST-1006,CTRL-03,Deployed,2026-07-23T22:09:16.428021
MAP-62374cf8,AST-1008,CTRL-03,Deployed,2026-03-31T22:09:16.428035
MAP-18c52a49,AST-1008,CTRL-01,Deployed,2025-10-06T22:09:16.428040
MAP-46a56960,AST-1008,CTRL-02,Deployed,2026-06-28T22:09:16.428046
MAP-3b6f944e,AST-1009,CTRL-04,Deployed,2026-05-17T22:09:16.428052
MAP-13d47022,AST-1009,CTRL-03,Deployed,2026-03-11T22:09:16.428057
MAP-c07629f2,AST-1010,CTRL-01,Deployed,2026-06-19T22:09:16.428063
MAP-dda164d6,AST-1010,CTRL-03,Deployed,2026-06-25T22:09:16.428067
MAP-12756086,AST-1010,CTRL-04,Deployed,2025-11-07T22:09:16.428074
MAP-e56467b8,AST-1011,CTRL-02,Deployed,2025-12-28T22:09:16.428081
MAP-b75fe863,AST-1011,CTRL-03,Deployed,2025-11-27T22:09:16.428085
MAP-882749a0,AST-1012,CTRL-04,Deployed,2025-12-05T22:09:16.428092
MAP-177154d1,AST-1012,CTRL-01,Deployed,2026-02-13T22:09:16.428097
MAP-23c803b9,AST-1012,CTRL-02,Deployed,2026-04-14T22:09:16.428101
MAP-a19e6324,AST-1013,CTRL-01,Deployed,2025-10-08T22:09:16.428107
MAP-6fdac451,AST-1013,CTRL-04,Deployed,2026-04-06T22:09:16.428112
MAP-8366cebe,AST-1013,CTRL-02,Deployed,2026-02-18T22:09:16.428116
MAP-607c4c44,AST-1014,CTRL-04,Deployed,2025-10-31T22:09:16.428122
MAP-030e1bb2,AST-1015,CTRL-03,Deployed,2026-07-26T22:09:16.428129
MAP-97ef16ea,AST-1015,CTRL-04,Deployed,2025-10-29T22:09:16.428133
MAP-beaba170,AST-1015,CTRL-01,Deployed,2026-06-06T22:09:16.428137
MAP-9e8eb6d8,AST-1018,CTRL-01,Deployed,2025-10-06T22:09:16.428146
MAP-0ac33905,AST-1019,CTRL-02,Deployed,2025-12-18T22:09:16.428152
MAP-6c5064d7,AST-1019,CTRL-01,Deployed,2026-03-02T22:09:16.428156
MAP-5189bcef,AST-1020,CTRL-04,Deployed,2026-03-26T22:09:16.428162
MAP-cdae734f,AST-1021,CTRL-01,Deployed,2026-03-13T22:09:16.428168
MAP-3a6b2beb,AST-1023,CTRL-01,Deployed,2026-06-29T22:09:16.428178
MAP-df14ab35,AST-1024,CTRL-02,Deployed,2026-03-26T22:09:16.428185
MAP-f6fafa83,AST-1024,CTRL-03,Deployed,2026-01-05T22:09:16.428189
MAP-72793c56,AST-1024,CTRL-04,Deployed,2026-04-15T22:09:16.428193
MAP-98f4b00b,AST-1025,CTRL-01,Deployed,2026-06-16T22:09:16.428199
MAP-9c860ddb,AST-1025,CTRL-02,Deployed,2026-03-01T22:09:16.428204
MAP-33a55649,AST-1025,CTRL-04,Deployed,2025-10-30T22:09:16.428208
MAP-9803f380,AST-1027,CTRL-02,Deployed,2025-10-23T22:09:16.428216
MAP-690771d9,AST-1027,CTRL-03,Deployed,2025-08-31T22:09:16.428220
MAP-5aeb45cb,AST-1028,CTRL-01,Deployed,2025-10-31T22:09:16.428227
MAP-509f355f,AST-1028,CTRL-02,Deployed,2025-09-30T22:09:16.428233
MAP-2f5ca882,AST-1030,CTRL-01,Deployed,2026-04-12T22:09:16.428241
MAP-4ee68e71,AST-1030,CTRL-02,Deployed,2026-01-13T22:09:16.428246
MAP-7869fb01,AST-1030,CTRL-03,Deployed,2026-05-22T22:09:16.428250
MAP-f47dc0e7,AST-1031,CTRL-02,Deployed,2026-06-04T22:09:16.428260
MAP-4ba65275,AST-1032,CTRL-03,Deployed,2026-02-28T22:09:16.428269
MAP-ba8c1def,AST-1032,CTRL-02,Deployed,2026-06-27T22:09:16.428273
MAP-b75a0d2c,AST-1032,CTRL-04,Deployed,2026-03-17T22:09:16.428277
MAP-61ee7bb9,AST-1033,CTRL-01,Deployed,2026-05-19T22:09:16.428283
MAP-febc3696,AST-1033,CTRL-02,Deployed,2026-04-27T22:09:16.428287
MAP-d4372aba,AST-1034,CTRL-02,Deployed,2026-04-22T22:09:16.428293
MAP-3f9f7677,AST-1034,CTRL-04,Deployed,2026-03-06T22:09:16.428297
MAP-04e52135,AST-1035,CTRL-02,Deployed,2025-08-27T22:09:16.428303
MAP-b2f09988,AST-1037,CTRL-02,Deployed,2025-09-25T22:09:16.428311
MAP-35adbe91,AST-1039,CTRL-03,Deployed,2025-09-15T22:09:16.428318
MAP-e8baaec1,AST-1039,CTRL-02,Deployed,2026-02-09T22:09:16.428322
MAP-6ffc4f23,AST-1040,CTRL-04,Deployed,2026-02-16T22:09:16.428328
MAP-1ae8a0e8,AST-1040,CTRL-03,Deployed,2026-07-13T22:09:16.428332
MAP-6d6f7975,AST-1042,CTRL-03,Deployed,2025-12-30T22:09:16.428340
MAP-7996e9a9,AST-1042,CTRL-02,Deployed,2026-03-27T22:09:16.428346
MAP-801a9635,AST-1042,CTRL-04,Deployed,2025-09-08T22:09:16.428350
MAP-010f5420,AST-1043,CTRL-02,Deployed,2026-04-02T22:09:16.428358
MAP-9e193929,AST-1043,CTRL-01,Deployed,2025-09-29T22:09:16.428362
MAP-85b15c09,AST-1043,CTRL-04,Deployed,2025-09-01T22:09:16.428366
MAP-9d06b698,AST-1044,CTRL-02,Deployed,2025-10-27T22:09:16.428372
MAP-d205f2d8,AST-1044,CTRL-03,Deployed,2026-06-26T22:09:16.428376
MAP-c64fbb87,AST-1044,CTRL-01,Deployed,2025-10-16T22:09:16.428380
MAP-b539f492,AST-1045,CTRL-03,Deployed,2026-02-12T22:09:16.428387
MAP-01caf0f5,AST-1045,CTRL-01,Deployed,2026-01-12T22:09:16.428391
MAP-f45ca9fe,AST-1045,CTRL-02,Deployed,2025-12-19T22:09:16.428395
MAP-0dd160a6,AST-1046,CTRL-02,Deployed,2026-05-27T22:09:16.428401
MAP-fae7c4eb,AST-1047,CTRL-04,Deployed,2025-11-04T22:09:16.428408
MAP-f276730e,AST-1047,CTRL-02,Deployed,2026-06-11T22:09:16.428412
MAP-693e6cee,AST-1047,CTRL-01,Deployed,2026-03-23T22:09:16.428416
MAP-3a45c099,AST-1049,CTRL-03,Deployed,2026-07-08T22:09:16.428424
