event_id,timestamp,asset_id,mitre_technique_id,description,severity,source_ip,action_taken,downtime_hours_caused,records_compromised
EVT-76e2bfcb,2026-08-24T16:09:16.425144,AST-1003,T1059.001,PowerShell Execution,Medium,207.149.136.222,Alerted,0,0
EVT-a770b24a,2026-08-03T08:09:16.425161,AST-1015,T1059.001,PowerShell Execution,Medium,44.196.225.122,Allowed,0,0
EVT-fca32ba4,2026-08-21T11:09:16.425174,AST-1014,T1110.001,Password Guessing,Low,16.200.194.219,Allowed,0,0
EVT-e5c33deb,2026-08-12T23:09:16.425184,AST-1011,T1078,Valid Accounts,Medium,212.195.10.151,Allowed,0,0
EVT-27ab9c00,2026-08-21T18:09:16.425193,AST-1035,T1078,Valid Accounts,Medium,216.126.76.84,Allowed,0,0
EVT-1789cf27,2026-07-29T04:09:16.425203,AST-1034,T1059.001,PowerShell Execution,Medium,25.168.111.167,Blocked,0,0
EVT-7368d4bd,2026-08-26T01:09:16.425214,AST-1002,T1003.001,LSASS Memory Credential Dumping,High,29.246.122.183,Allowed,0,38848
EVT-f5666670,2026-08-02T02:09:16.425223,AST-1046,T1486,Data Encrypted for Impact (Ransomware),Critical,129.85.172.3,Alerted,0,0
EVT-fa80e208,2026-08-22T22:09:16.425233,AST-1011,T1110.001,Password Guessing,Low,178.58.243.100,Allowed,0,0
EVT-ea9df2a8,2026-08-26T21:09:16.425243,AST-1032,T1110.001,Password Guessing,Low,102.87.98.181,Allowed,0,0
EVT-6950619f,2026-08-13T20:09:16.425255,AST-1013,T1110.001,Password Guessing,Low,40.102.139.178,Allowed,0,0
EVT-84615f15,2026-08-14T07:09:16.425264,AST-1010,T1078,Valid Accounts,Medium,227.70.97.41,Alerted,0,0
EVT-2a1070bf,2026-07-29T13:09:16.425274,AST-1048,T1003.001,LSASS Memory Credential Dumping,High,181.175.28.154,Allowed,0,42866
EVT-b453a314,2026-08-13T05:09:16.425286,AST-1040,T1003.001,LSASS Memory Credential Dumping,High,249.22.20.134,Alerted,0,0
EVT-b0ec81ab,2026-08-16T19:09:16.425295,AST-1018,T1486,Data Encrypted for Impact (Ransomware),Critical,126.240.81.179,Allowed,67,0
EVT-7edccac1,2026-08-20T15:09:16.425304,AST-1003,T1003.001,LSASS Memory Credential Dumping,High,64.201.252.224,Alerted,0,0
EVT-ac4931b7,2026-07-31T16:09:16.425313,AST-1045,T1078,Valid Accounts,Medium,83.178.44.254,Allowed,0,0
EVT-6f4829f3,2026-08-08T08:09:16.425323,AST-1001,T1003.001,LSASS Memory Credential Dumping,High,110.151.168.84,Allowed,0,35975
EVT-9521f983,2026-08-22T23:09:16.425331,AST-1028,T1059.001,PowerShell Execution,Medium,194.179.134.3,Alerted,0,0
EVT-a9ef49f0,2026-08-06T00:09:16.425340,AST-1049,T1059.001,PowerShell Execution,Medium,191.196.24.117,Allowed,0,0
EVT-96e4eb06,2026-08-23T01:09:16.425349,AST-1046,T1486,Data Encrypted for Impact (Ransomware),Critical,239.171.116.57,Allowed,34,0
EVT-4c3c4e30,2026-08-14T07:09:16.425357,AST-1008,T1059.001,PowerShell Execution,Medium,126.192.31.108,Blocked,0,0
EVT-12522724,2026-08-23T10:09:16.425366,AST-1040,T1078,Valid Accounts,Medium,227.62.67.68,Alerted,0,0
EVT-846aa632,2026-08-11T14:09:16.425374,AST-1039,T1486,Data Encrypted for Impact (Ransomware),Critical,118.167.233.29,Alerted,0,0
EVT-1433d966,2026-08-19T07:09:16.425383,AST-1046,T1003.001,LSASS Memory Credential Dumping,High,209.113.166.74,Allowed,0,13898
EVT-066b5037,2026-08-05T20:09:16.425392,AST-1028,T1486,Data Encrypted for Impact (Ransomware),Critical,21.215.131.82,Blocked,0,0
EVT-9b98b966,2026-08-12T04:09:16.425401,AST-1018,T1486,Data Encrypted for Impact (Ransomware),Critical,72.198.83.208,Alerted,0,0
EVT-9a51ed2f,2026-08-21T20:09:16.425410,AST-1020,T1059.001,PowerShell Execution,Medium,59.212.225.176,Blocked,0,0
EVT-7145548a,2026-08-02T22:09:16.425419,AST-1008,T1486,Data Encrypted for Impact (Ransomware),Critical,228.202.165.57,Allowed,46,0
EVT-94032286,2026-08-22T17:09:16.425427,AST-1022,T1486,Data Encrypted for Impact (Ransomware),Critical,181.152.80.42,Blocked,0,0
EVT-320f4157,2026-08-04T16:09:16.425436,AST-1022,T1078,Valid Accounts,Medium,141.165.140.2,Blocked,0,0
EVT-e74895c6,2026-08-05T09:09:16.425450,AST-1001,T1059.001,PowerShell Execution,Medium,254.51.18.238,Allowed,0,0
EVT-b9613aac,2026-08-06T00:09:16.425463,AST-1045,T1003.001,LSASS Memory Credential Dumping,High,89.111.224.18,Allowed,0,17574
EVT-ccb380e3,2026-08-25T07:09:16.425472,AST-1046,T1110.001,Password Guessing,Low,182.29.205.106,Alerted,0,0
EVT-5320e43f,2026-08-13T21:09:16.425480,AST-1008,T1486,Data Encrypted for Impact (Ransomware),Critical,9.116.31.187,Blocked,0,0
EVT-f43f10f6,2026-08-19T12:09:16.425490,AST-1023,T1059.001,PowerShell Execution,Medium,250.21.183.41,Alerted,0,0
EVT-1bafd890,2026-08-12T23:09:16.425499,AST-1036,T1078,Valid Accounts,Medium,220.99.32.76,Allowed,0,0
EVT-7e578f30,2026-08-10T20:09:16.425507,AST-1037,T1110.001,Password Guessing,Low,67.99.200.163,Alerted,0,0
EVT-e6418388,2026-08-14T00:09:16.425516,AST-1042,T1110.001,Password Guessing,Low,85.220.30.155,Alerted,0,0
EVT-b74b5024,2026-08-20T12:09:16.425525,AST-1009,T1059.001,PowerShell Execution,Medium,133.98.49.159,Allowed,0,0
EVT-89a06fc2,2026-08-22T19:09:16.425535,AST-1038,T1003.001,LSASS Memory Credential Dumping,High,153.2.172.166,Allowed,0,9363
EVT-c9649b00,2026-07-28T09:09:16.425544,AST-1044,T1078,Valid Accounts,Medium,166.127.225.210,Blocked,0,0
EVT-67853d26,2026-08-14T13:09:16.425552,AST-1030,T1059.001,PowerShell Execution,Medium,68.214.249.252,Blocked,0,0
EVT-a21624ce,2026-08-19T22:09:16.425561,AST-1048,T1110.001,Password Guessing,Low,58.10.80.119,Alerted,0,0
EVT-49097c12,2026-07-31T08:09:16.425569,AST-1020,T1003.001,LSASS Memory Credential Dumping,High,143.164.107.25,Alerted,0,0
EVT-25c5e3b5,2026-08-08T10:09:16.425579,AST-1011,T1110.001,Password Guessing,Low,88.46.218.134,Allowed,0,0
EVT-040e6085,2026-08-23T08:09:16.425588,AST-1028,T1003.001,LSASS Memory Credential Dumping,High,232.33.198.201,Alerted,0,0
EVT-3db26d7b,2026-08-09T10:09:16.425596,AST-1030,T1003.001,LSASS Memory Credential Dumping,High,77.172.135.19,Alerted,0,0
EVT-8735405b,2026-08-11T00:09:16.425605,AST-1033,T1059.001,PowerShell Execution,Medium,227.218.200.52,Alerted,0,0
EVT-e54d9bd8,2026-08-26T12:09:16.425613,AST-1001,T1078,Valid Accounts,Medium,73.32.106.180,Blocked,0,0
EVT-903c56d5,2026-08-01T18:09:16.425622,AST-1042,T1003.001,LSASS Memory Credential Dumping,High,130.150.39.202,Blocked,0,0
EVT-594d0f3d,2026-08-05T10:09:16.425631,AST-1044,T1003.001,LSASS Memory Credential Dumping,High,152.81.240.178,Alerted,0,0
EVT-e45a0e2a,2026-07-29T10:09:16.425644,AST-1008,T1078,Valid Accounts,Medium,160.95.187.210,Blocked,0,0
EVT-b38b6c23,2026-08-07T07:09:16.425653,AST-1033,T1078,Valid Accounts,Medium,124.73.28.155,Blocked,0,0
EVT-ed9f06ce,2026-08-08T06:09:16.425662,AST-1004,T1078,Valid Accounts,Medium,146.163.230.7,Allowed,0,0
EVT-2d1807d6,2026-08-03T01:09:16.425672,AST-1033,T1078,Valid Accounts,Medium,135.188.1.25,Blocked,0,0
EVT-ed8fb4d2,2026-08-17T14:09:16.425681,AST-1015,T1059.001,PowerShell Execution,Medium,100.166.177.237,Allowed,0,0
EVT-ac5e150f,2026-08-11T07:09:16.425690,AST-1020,T1110.001,Password Guessing,Low,247.224.23.129,Allowed,0,0
EVT-5f5ad6ab,2026-08-12T12:09:16.425699,AST-1000,T1003.001,LSASS Memory Credential Dumping,High,78.185.243.184,Allowed,0,49866
EVT-69af0dad,2026-08-08T03:09:16.425707,AST-1033,T1059.001,PowerShell Execution,Medium,53.130.167.166,Alerted,0,0
EVT-a737246c,2026-08-12T13:09:16.425716,AST-1012,T1059.001,PowerShell Execution,Medium,254.234.185.72,Allowed,0,0
EVT-8d6fee20,2026-08-12T01:09:16.425724,AST-1037,T1059.001,PowerShell Execution,Medium,105.145.117.252,Blocked,0,0
EVT-1c1d123f,2026-08-07T01:09:16.425732,AST-1002,T1059.001,PowerShell Execution,Medium,3.27.18.222,Blocked,0,0
EVT-66fa9aa8,2026-08-19T08:09:16.425741,AST-1035,T1486,Data Encrypted for Impact (Ransomware),Critical,201.237.95.105,Alerted,0,0
