vuln_id,asset_id,cve_id,cvss_score,epss_score,severity,status,discovery_date
VULN-e70593b6,AST-1023,CVE-2019-0708,6.2,0.904,Medium,In Progress,2026-07-09T22:09:16.424116
VULN-b9a57584,AST-1032,CVE-2022-26134,8.2,0.477,High,In Progress,2026-06-14T22:09:16.424169
VULN-4aa3f291,AST-1033,CVE-2023-23397,4.9,0.071,Medium,Open,2026-07-12T22:09:16.424183
VULN-0836054d,AST-1008,CVE-2020-1472,8.3,0.633,High,In Progress,2026-06-07T22:09:16.424192
VULN-1ee1fa35,AST-1033,CVE-2023-23397,9.9,0.034,Critical,Open,2026-06-10T22:09:16.424202
VULN-0c52499b,AST-1022,CVE-2020-1472,4.9,0.097,Medium,In Progress,2026-06-30T22:09:16.424213
VULN-50803870,AST-1039,CVE-2021-44228,4.8,0.089,Medium,Open,2026-08-11T22:09:16.424223
VULN-7179ead5,AST-1029,CVE-2021-44228,3.2,0.058,Low,In Progress,2026-06-09T22:09:16.424232
VULN-37e18398,AST-1048,CVE-2023-23397,2.1,0.028,Low,In Progress,2026-06-28T22:09:16.424240
VULN-f44d2f84,AST-1007,CVE-2022-26134,8.6,0.517,High,Risk Accepted,2026-07-19T22:09:16.424249
VULN-b7cec784,AST-1013,CVE-2021-44228,7.7,0.264,High,Risk Accepted,2026-06-28T22:09:16.424257
VULN-6a24727e,AST-1019,CVE-2020-1472,7.2,0.47,High,In Progress,2026-06-15T22:09:16.424265
VULN-31711cd6,AST-1046,CVE-2019-0708,9.5,0.625,Critical,Open,2026-08-23T22:09:16.424273
VULN-dca09d63,AST-1033,CVE-2021-44228,7.0,0.149,High,Open,2026-08-21T22:09:16.424281
VULN-d39500be,AST-1036,CVE-2022-26134,9.0,0.286,Critical,Open,2026-07-14T22:09:16.424289
VULN-f2a57114,AST-1029,CVE-2021-44228,3.7,0.081,Low,Risk Accepted,2026-06-24T22:09:16.424297
VULN-75718ebc,AST-1034,CVE-2020-1472,5.1,0.682,Medium,Open,2026-06-03T22:09:16.424308
VULN-fa1fbcfa,AST-1021,CVE-2022-26134,2.1,0.046,Low,Risk Accepted,2026-06-21T22:09:16.424316
VULN-64c32968,AST-1039,CVE-2020-1472,3.8,0.055,Low,In Progress,2026-07-30T22:09:16.424324
VULN-e8bbd299,AST-1008,CVE-2019-0708,8.3,0.217,High,Risk Accepted,2026-07-26T22:09:16.424332
VULN-d0b0bd66,AST-1001,CVE-2019-0708,2.6,0.091,Low,Risk Accepted,2026-06-30T22:09:16.424340
VULN-54f82b98,AST-1021,CVE-2021-44228,2.5,0.078,Low,In Progress,2026-06-12T22:09:16.424348
VULN-43b8e3ee,AST-1023,CVE-2019-0708,7.5,0.091,High,Risk Accepted,2026-05-21T22:09:16.424355
VULN-ec717195,AST-1005,CVE-2019-0708,8.7,0.613,High,Risk Accepted,2026-08-03T22:09:16.424363
VULN-d779e581,AST-1002,CVE-2019-0708,2.4,0.086,Low,Open,2026-07-21T22:09:16.424371
VULN-85d0fd10,AST-1019,CVE-2023-23397,7.9,0.47,High,Open,2026-08-25T22:09:16.424379
VULN-dfb1477c,AST-1009,CVE-2019-0708,2.0,0.047,Low,In Progress,2026-07-28T22:09:16.424387
VULN-cd11701a,AST-1043,CVE-2019-0708,2.6,0.089,Low,In Progress,2026-06-10T22:09:16.424394
VULN-22a822c9,AST-1000,CVE-2020-1472,4.1,0.017,Medium,Risk Accepted,2026-06-08T22:09:16.424402
VULN-e9b039b4,AST-1005,CVE-2020-1472,6.8,0.361,Medium,Open,2026-06-02T22:09:16.424410
VULN-e2585840,AST-1037,CVE-2023-23397,4.6,0.072,Medium,Risk Accepted,2026-08-10T22:09:16.424417
VULN-f6a200a0,AST-1035,CVE-2022-26134,6.5,0.277,Medium,In Progress,2026-06-17T22:09:16.424425
VULN-41059fc7,AST-1019,CVE-2019-0708,4.1,0.053,Medium,Risk Accepted,2026-07-23T22:09:16.424432
VULN-18502000,AST-1042,CVE-2020-1472,9.5,0.159,Critical,Risk Accepted,2026-08-02T22:09:16.424440
VULN-42e57934,AST-1007,CVE-2022-26134,9.8,0.19,Critical,In Progress,2026-07-27T22:09:16.424448
VULN-692b2d51,AST-1002,CVE-2023-23397,8.9,0.431,High,In Progress,2026-06-30T22:09:16.424458
VULN-1695fca7,AST-1001,CVE-2020-1472,9.1,0.503,Critical,Open,2026-06-05T22:09:16.424466
VULN-00196604,AST-1017,CVE-2022-26134,6.1,0.588,Medium,Risk Accepted,2026-06-11T22:09:16.424475
VULN-9fd5e085,AST-1003,CVE-2019-0708,4.1,0.061,Medium,Risk Accepted,2026-06-24T22:09:16.424482
VULN-f7e68228,AST-1000,CVE-2022-26134,8.3,0.585,High,Open,2026-06-01T22:09:16.424492
VULN-a1b73b3d,AST-1008,CVE-2020-1472,9.0,0.324,Critical,Open,2026-08-13T22:09:16.424501
VULN-70a228c7,AST-1021,CVE-2023-23397,2.1,0.021,Low,In Progress,2026-08-18T22:09:16.424508
VULN-de8c36a2,AST-1000,CVE-2020-1472,9.4,0.906,Critical,Risk Accepted,2026-05-28T22:09:16.424516
